!SOT
8049074!push ebp!RR_ebp_bfd65198_esp_bfd6505c!WM_bfd65058_4_bfd65198!WR_esp_bfd65058
80490b3!movzx ecx, byte ptr [edx]!RM_bfd65095_1_a7!RR_edx_bfd65095!WR_ecx_a7
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_d1!RR_cl_a7_esp_bfd65048!WM_bfd6504b_1_78
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_78!RR_esp_bfd65048!WR_esi_78
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_78!WR_esi_bfd65102
80490c1!movzx eax, byte ptr [esi]!RM_bfd65102_1_d7!RR_esi_bfd65102!WR_eax_d7
80490c4!mov byte ptr [edx], al!RR_al_d7_edx_bfd65095!WM_bfd65095_1_d7
80490c6!mov byte ptr [esi], cl!RR_cl_a7_esi_bfd65102!WM_bfd65102_1_a7
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_a!RR_esp_bfd65048!WR_esi_a
80490cc!add cl, byte ptr [edx]!RM_bfd65095_1_d7!RR_cl_a7_edx_bfd65095!WR_cl_7e
80490ce!movzx ecx, cl!RR_cl_7e!WR_ecx_7e
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd65108_1_25!RR_ebx_bfd6508a_ecx_7e!WR_edx_25
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d87046_1_4d!RR_dl_25_ebp_8d8703c_esi_a!WM_8d87046_1_68
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_a!RR_esp_bfd65048!WM_bfd65048_2_b
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_b!RR_esp_bfd65048!WR_edx_b
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_b_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_b!WR_edx_c
80490ac!movzx edx, dl!RR_dl_c!WR_edx_c
80490af!mov edi, edx!RR_edx_c!WR_edi_c
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_c!WR_edx_bfd65096
80490b3!movzx ecx, byte ptr [edx]!RM_bfd65096_1_a9!RR_edx_bfd65096!WR_ecx_a9
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_78!RR_cl_a9_esp_bfd65048!WM_bfd6504b_1_21
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_21!RR_esp_bfd65048!WR_esi_21
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_21!WR_esi_bfd650ab
80490c1!movzx eax, byte ptr [esi]!RM_bfd650ab_1_36!RR_esi_bfd650ab!WR_eax_36
80490c4!mov byte ptr [edx], al!RR_al_36_edx_bfd65096!WM_bfd65096_1_36
80490c6!mov byte ptr [esi], cl!RR_cl_a9_esi_bfd650ab!WM_bfd650ab_1_a9
80490c8!movsx esi, word ptr [esp]!RM_bfd65048_2_b!RR_esp_bfd65048!WR_esi_b
80490cc!add cl, byte ptr [edx]!RM_bfd65096_1_36!RR_cl_a9_edx_bfd65096!WR_cl_df
80490ce!movzx ecx, cl!RR_cl_df!WR_ecx_df
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfd65169_1_5!RR_ebx_bfd6508a_ecx_df!WR_edx_5
80490d5!xor byte ptr [ebp+esi*1], dl!RM_8d87047_1_65!RR_dl_5_ebp_8d8703c_esi_b!WM_8d87047_1_60
80490d9!add word ptr [esp], 0x1!RM_bfd65048_2_b!RR_esp_bfd65048!WM_bfd65048_2_c
80490de!movsx edx, word ptr [esp]!RM_bfd65048_2_c!RR_esp_bfd65048!WR_edx_c
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfd65064_4_21!RR_edx_c_esp_bfd65048
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_c!WR_edx_d
80490ac!movzx edx, dl!RR_dl_d!WR_edx_d
80490af!mov edi, edx!RR_edx_d!WR_edi_d
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_d!WR_edx_bfd65097
80490b3!movzx ecx, byte ptr [edx]!RM_bfd65097_1_f3!RR_edx_bfd65097!WR_ecx_f3
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_21!RR_cl_f3_esp_bfd65048!WM_bfd6504b_1_14
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfd6504b_1_14!RR_esp_bfd65048!WR_esi_14
80490bf!add esi, ebx!RR_ebx_bfd6508a_esi_14!WR_esi_bfd6509e
80490c1!movzx eax, byte ptr [esi]!RM_bfd6509e_1_f9!RR_esi_bfd6509e!WR_eax_f9
